pdb_id	round	resolution	cc_mask_pre	cc_mask_post	cc_mask_delta	d_fsc_model_pre	d_fsc_model_post	d_fsc_model_delta_pct	status
10SE	12	2.41			0.0024				delta-only (per-entry pre/post not published)
27WR	12	2.7			-0.0065				delta-only (per-entry pre/post not published)
21BQ	12	2.7			-0.0139				delta-only (per-entry pre/post not published)
24UM	12	2.7			-0.006				delta-only (per-entry pre/post not published)
10SG	12	2.84			-0.0019				delta-only (per-entry pre/post not published)
9VJD	12	2.86			0.0084				delta-only (per-entry pre/post not published)
9V35	12	2.97			0.0061				delta-only (per-entry pre/post not published)
10SH	12	2.97			0.0001				delta-only (per-entry pre/post not published)
9VTW	12	3.0			0.0154				delta-only (per-entry pre/post not published)
9OID	12	3.0			0.0595				delta-only (per-entry pre/post not published)
9ELS	12	3.02			0.0061				delta-only (per-entry pre/post not published)
9V4D	12	3.07			0.0115				delta-only (per-entry pre/post not published)
10SF	12	3.08			-0.0371				delta-only (per-entry pre/post not published)
9OIF	12	3.1			-0.0217				delta-only (per-entry pre/post not published)
10SD	12	3.11			-0.0421				delta-only (per-entry pre/post not published)
10GX	12	3.2			0.0041				delta-only (per-entry pre/post not published)
9PGD	12	3.2			0.0155				delta-only (per-entry pre/post not published)
9UPM	12	3.21			-0.0475				delta-only (per-entry pre/post not published)
10QT	12	3.4			0.0118				delta-only (per-entry pre/post not published)
9UPO	12	3.71			-0.0402				delta-only (per-entry pre/post not published)
9V3C	12	3.82			0.0139				delta-only (per-entry pre/post not published)
9VAM	12	3.88			0.0085				delta-only (per-entry pre/post not published)
9O9K	13	2.9			-0.0311				delta-only (per-entry pre/post not published)
11NJ	14	2.4	0.8471	0.8666	0.0195	2.3622753657431814	2.3590903981548212	-0.1348	measured
11QC	14	2.4	0.8311	0.8315	0.0004	2.3983385423407744	2.3983385423407744	0.0000	measured
10XZ	14	2.6	0.8797	0.8798	0.0001	2.518168123444973	2.518168123444973	0.0000	measured
10YA	14	2.7	0.9061	0.9077	0.0016	2.6086917618205465	2.6086917618205465	0.0000	measured
