id	task	phenix_tools	phenix_doc_paths	independent_oracles	inputs	metrics	gold_standard	example_dataset
T01	Structure superposition + RMSD	phenix.superpose_models|phenix.chain_comparison	reference/superpose_models.html|reference/chain_comparison.html	ChimeraX matchmaker|PyMOL align/super/cealign|TM-align|gemmi align|US-align	fixed PDB|moving PDB|optional chain/atom selection	CA RMSD (Å)|all-atom RMSD (Å)|#aligned residues|TM-score|GDT-TS|per-residue ΔCA	cross-tool RMSD agreement within 0.1 Å; or deposited reference pose	1UBQ vs 1UBI; or deposited structure vs its AlphaFold model
T02	Per-residue structural comparison	phenix.structure_comparison	reference/structure_comparison.html	ProSMART|LSQMAN|PyMOL rms_cur per-residue|gemmi script	2+ near-identical PDBs|optional sequence file|optional maps	per-residue Ramachandran/rotamer outlier diffs|SS agreement|B-factor deltas|ligand COM distance|omega cis/trans flips|His protonation diffs	cross-tool per-residue agreement; Coot inspection on hotspots	paired lysozyme mutants; NCS copies from one ASU
T03	Reciprocal-space refinement (X-ray)	phenix.refine|phenix.den_refine|phenix.rosetta_refine|phenix.amber	reference/refinement.html|reference/den_refine.html|reference/rosetta_refine.html|reference/amber.html	REFMAC5 (CCP4)|BUSTER|Servalcat	starting model (PDB)|reflection data MTZ w/ F/SIGF + R-free flags|optional ligand CIFs	R-work|R-free|R-free−R-work gap|ΔR-free vs input|bond/angle RMSD|MolProbity score|clashscore|Ramachandran favored %	deposited R-values; REFMAC re-refinement within 0.01–0.02	PDB 1YQV + deposited MTZ; PDB-REDO entries
T04	Real-space refinement (map-based)	phenix.real_space_refine|phenix.varref	reference/real_space_refine.html|reference/varref.html	Servalcat|ISOLDE (ChimeraX)|REFMAC real-space|Rosetta cryo_em_refinement	starting model (PDB)|map (MRC/CCP4)|resolution estimate	CC_mask|CC_box|CC_peaks|CC_volume|d_FSC_model|ΔCC vs input|clashscore|Ramachandran favored %	deposited refined model; Servalcat CC/FSC second opinion	EMDB-11668 / PDB 7a4m (apoferritin); EMDB-20646 / PDB 6u42
T05	Geometry validation	phenix.holton_geometry_validation|phenix.validation|phenix.cablam|mmtbx.validation_summary	reference/holton_geometry_validation.html|reference/validation.html|reference/cablam_validation.html	MolProbity (gold)|wwPDB validation pipeline|gemmi validators|RosettaHoles2|ProSA|Verify3D	model (PDB/mmCIF)	clashscore|Ramachandran favored %|Ramachandran outlier %|rotamer outlier %|CBeta outliers|bond-length RMSD|bond-angle RMSD|planarity RMSD|chirality outliers|MolProbity composite|CaBLAM outliers|Ramachandran-Z score|packing Z-score|unsatisfied buried H-bond count|B-factor outlier Z-score	MolProbity report; wwPDB validation for deposited comparator	any PDB; 3NIR as clean ultra-high-res baseline
T06	Model-vs-data statistics	phenix.model_vs_data|phenix.mtriage|phenix.fmodel|phenix.map_correlations	reference/model_vs_data.html|reference/mtriage.html|reference/map_correlations.html	CCP4 sfcheck|refmac -hklin|Servalcat|gemmi sfcalc|gemmi validate|PDB-REDO|FSC-Q	model + MTZ (X-ray) or map(s) (cryo-EM)	R-work|R-free|CC_work|CC_free|CC*|map-model FSC (global + per-shell)|d_FSC_model|overall B|Wilson B|residue RSCC|RSCC outlier fraction|diffraction precision index	PDB/EMDB header-reported values	PDB 1YQV + MTZ; PDB 7a4m + EMDB-11668 half-maps
T07	Predicted-model processing	phenix.process_predicted_model|phenix.predict_model|phenix.predict_and_build	reference/process_predicted_model.html|reference/predict_model.html|reference/predict_and_build.html|overviews/predicted_models_index.html	pae_to_domains.py (Croll/Tronrud)|biotite AF parsers|colabfold domain-splitter|ChimeraX alphafold|QMEANDisCo	AlphaFold/RoseTTAFold prediction (PDB/mmCIF) w/ pLDDT|optional PAE JSON	fraction residues retained after trim|mean pLDDT pre/post|B-factor ↔ (1/pLDDT²) correlation|domain count vs PAE oracle|RMSD of processed model vs reference experimental|predicted TM-score|interface predicted TM-score|prediction ensemble convergence	AlphaFold-DB pLDDT; experimental structure for same UniProt	AF-P00698-F1 vs PDB 2LYZ; AF-P0DTC2-F1 vs 6VXX
T08	Docking predicted/homology model into a map	phenix.dock_predicted_model|phenix.dock_in_map|phenix.em_placement|phenix.dock_and_rebuild	reference/dock_predicted_model.html|reference/dock_in_map.html|reference/em_placement.html|reference/dock_and_rebuild.html	ChimeraX fitmap|Situs colores/collage|gmfit|cryoSPARC flex-refine rigid body	predicted/homology model|cryo-EM map|optional mask / centre guess	placement CC|ΔCC vs random|RMSD to deposited position|translation/rotation error|em_placement LLG	deposited EMDB-PDB pair	EMDB-20646 / PDB 6u42
T09	Molecular replacement	phenix.phaser|phenix.MRage|phenix.mr_rosetta|phenix.morph_model|phenix.sculptor|phenix.ensembler	reference/phaser_mr.html|reference/MRage.html|reference/mr_rosetta.html|reference/morph_model.html|reference/sculptor.html|reference/ensembler.html|reference/phaser.html	MoRDa|CCP4 Phaser standalone|ARCIMBOLDO|MOLREP	search model (trimmed AlphaFold often)|reflection MTZ|target sequence|#copies per ASU	Phaser TFZ|LLG|translation/rotation|post-MR R-free|time-to-solution	deposited structure — MR superposes within a few Å CA RMSD	PDB 1YQV Phaser tutorial data; AF-guided MR targets
T10	Ligand fitting	phenix.ligandfit|phenix.ligand_pipeline|phenix.find_all_ligands|phenix.eLBOW|phenix.REEL|phenix.guided_ligand_replacement	reference/ligandfit.html|reference/ligand_pipeline.html|reference/find_all_ligands.html|reference/elbow.html|reference/reel.html|reference/guided_ligand_replacement.html	Coot Find Ligand|AFITT (OpenEye)|rhofit (Global Phasing)|CCP4 libcheck/acedrg	apo model|map/MTZ|ligand SMILES or coordinates	ligand RSCC|ligand RSR|ligand B vs surroundings|protein-ligand hbond count|RMSD to deposited ligand pose	deposited holo co-crystal structure	PDB 1OYT (factor Xa + inhibitor); PHENIX ligandfit tutorial
